title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
Romancing the Stone,10000000,86572238,20.248,6.8,1643,,1984-03-30,"Though she can spin wild tales of passionate romance, novelist Joan Wilder has no life of her own. Then one day adventure comes her way in the form of a mysterious package. It turns out that the parcel is the ransom she'll need to free her abducted sister, so Joan flies to South America to hand it over. But she gets on the wrong bus and winds up hopelessly stranded in the jungle.",/qfIlVOYZH5RiZ0ndFKUpr5Zn2Bx.jpg
Bill & Ted's Excellent Adventure,10000000,40485039,18.022,6.858,1643,,1989-02-17,"Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.",/tV25lGWGWGEqUe3U0xjQTBgilSx.jpg
Superhero Movie,35000000,25871834,19.445,5.231,1643,,2008-03-28,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",/f3gFb4wLwNGQcpweamVhjNBdJ58.jpg
Old School,24000000,87135520,21.691,6.583,1640,,2003-02-21,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,/nYtuwNHpEoIbTgS3aFPSEwZNN6l.jpg
Winchester,3500000,44019588,15.713,5.901,1638,,2018-02-02,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company.",/tHDtskokZeO9B3JBdR1dSH0uqad.jpg
Bloodsport,1500000,65000000,24.918,7.017,1637,,1988-02-26,"U.S. soldier Frank Dux has come to Hong Kong to be accepted into the Kumite, a highly secret and extremely violent martial arts competition. While trying to gain access into the underground world of clandestine fighters, he also has to avoid military officers who consider him to be AWOL. After enduring a difficult training and beginning a romance with journalist Janice Kent, Frank is given the opportunity to fight. But can he survive?",/kndxR9TRK0kJ5hxzDprRSS80F2W.jpg
The Forest,10000000,37608299,13.533,5.223,1637,,2016-01-07,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",/1TohqCqMbaiuRLJPrPW0vnQP3lE.jpg
Peter Rabbit,50000000,351266433,16.754,6.697,1636,,2018-02-07,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.,/lugOvdaNpbVGQK9TyMRDiUbLtY6.jpg
Pay It Forward,40000000,55707411,20.255,7.313,1635,,2000-10-20,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",/62OIokwaxFwBFWM147ijLJsaVJD.jpg
The Insider,90000000,60289912,18.226,7.475,1634,,1999-10-28,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,/jJCyIBPfvk41uETq6K6u4upyGO8.jpg
Triangle of Sadness,15600000,24733572,30.999,7.125,1631,,2022-09-18,"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",/k9eLozCgCed5FGTSdHu0bBElAV8.jpg
The French Connection,1800000,41158757,15.084,7.539,1630,,1971-10-09,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,/pH4saPwMjhnVGwmSH6RkMaHrt3s.jpg
Miss Sloane,13000000,9101546,14.087,7.459,1628,,2016-11-25,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,/ptfvQlqe2xJiMSewSj52qAVq5z0.jpg
Rat Race,48000000,85498534,20.717,6.245,1625,,2001-08-17,"In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",/8ghNCfFbCJjcNSz2K5jOC3eO6ZD.jpg
The Way Way Back,4600000,23198652,17.181,7.137,1625,,2013-06-06,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.",/4DgA0EDDVv37C8xISc3Vv0rhxlL.jpg
The Box,30000000,33333531,11.857,5.578,1625,,2009-10-29,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",/xMAmOu6xl4CsstixcuecBle9krd.jpg
Winter's Bone,2000000,13831503,19.183,6.8,1624,,2010-06-11,"After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family.",/a0qhPkNlxLfsf5B2jFyI1Pp04XV.jpg
All the President's Men,8500000,70600000,18.079,7.664,1623,,1976-04-09,"During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.",/cPtSHR7D2WGsDBfnC5DxV927hKn.jpg
Lars and the Real Girl,12000000,11293663,23.641,7.1,1621,,2007-10-12,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",/nkAt4a7KIPc7Fi1BhxNHhYYbe2b.jpg
Child's Play 2,13000000,35763605,38.325,6.237,1621,,1990-11-09,"When Andy’s mother is admitted to a psychiatric hospital, the young boy is placed in foster care, andChucky, determined to claim Andy's soul, is not far behind.",/kdnermMCBOnVxjDKA0FV1HZueqg.jpg
Payback,90000000,161626121,22.743,6.832,1621,,1999-02-05,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",/gl295sH8213lY8aQ8hS2tTbuzYD.jpg
Blades of Glory,53000000,118200000,16.44,6.105,1620,,2007-03-30,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team.",/yclY3zyzrL1MS9b6Eygs9ks0ZTY.jpg
American Pie Presents: The Book of Love,8000000,5021219,34.808,5.268,1620,,2009-12-22,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.",/hwP0GEP0zy8ar965Xaht19SmMd3.jpg
Masterminds,25000000,29200000,13.304,5.736,1619,,2016-09-29,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,/4CXgye1p8Vr7taDG389QhhHDUZ4.jpg
Clifford the Big Red Dog,64000000,107347356,47.616,7.202,1618,,2021-11-10,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",/oifhfVhUcuDjE61V5bS5dfShQrm.jpg
Dancer in the Dark,12800000,40031879,18.067,7.869,1618,,2000-06-30,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",/8Wdd3fQfbbQeoSfWpHrDfaFNhBU.jpg
Get Him to the Greek,40000000,90029656,18.403,5.962,1617,,2010-06-03,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",/6g0li87w8LIK77QRUtOkQkM6bD7.jpg
Whatever Works,15000000,36020534,13.419,7.107,1617,,2009-06-19,"Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",/7yMpnI8cxlcFdFGcjlNY134NMlH.jpg
Hoodwinked!,15000000,51053787,23.912,6.214,1615,,2005-12-16,"Little Red Riding Hood: A classic story, but there's more to every tale than meets the eye. Before you judge a book by its cover, you've got to flip through the pages. In the re-telling of this classic fable, the story begins at the end of the tale and winds its way back. Chief Grizzly and Detective Bill Stork investigate a domestic disturbance at Granny's cottage, involving a karate-kicking Red Riding Hood, a sarcastic wolf and an oafish Woodsman.",/tjuMvHg7NJmE9hqKD3p86kW2Jvk.jpg
Snakes on a Plane,33000000,62022014,26.45,5.415,1614,,2006-08-17,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.",/9wqWQ5rXQG6daMpowqwadGjI768.jpg
City of Ember,55000000,17869048,18.698,6.301,1613,,2008-10-07,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker. Now, two teenagers, in a race against time, must search Ember for clues that will unlock the ancient mystery of the city's existence, before the the lights go out forever.",/eCdLMQMVk0SZlsfnDu43AOhbCJL.jpg
Nebraska,12000000,27682872,12.654,7.428,1612,,2013-09-21,"An aging, booze-addled father takes a trip from Montana to Nebraska with his estranged son in order to claim what he believes to be a million-dollar sweepstakes prize.",/o1t2Mw18EEBnl8v4Nby3PFjxnM1.jpg
